WineName,Price,CountryState,Region,ProductType,VarietalType,Description
Debeaune Morgon Belles Grives,$15.99,France,Beaujolais,Red Wine,Gamay,Beaujolais France - This Morgon is smooth with intoxicating scents of cassis plum violet and rose. The palate is filled with sweet revealing waves of red fruit. Subtle and hints at a beautiful maturity. (Concentrated Red Berry Dried Cherry  Medium-bodied )
Migration Pinot Noir,$34.99,California,Sonoma County,Red Wine,Pinot Noir,Russian River Valley CA- Aromas and flavors of bright cherry strawberry violet and rhubarb alongside more exotic elements of Asian spice hickory earth and roasted meats. (Elegant Plum Spice  Medium-bodied )
Cruz Alta Chairmans Blend,$22.99,Argentina,Mendoza,Red Wine,Malbec,Mendoza Argentina- Limited-edition reserve selected from exceptional high altitude vineyards; aged 18 months in french oak. A delicious blend of 85% Malbec 10% Cabernet and 5% Syrah it yields complex black fruit flavors nuanced with mocha on the lingering finish. (Intense Blackberry Spice  Full-bodied )
Palmalias Cannonau di Sardegna,$17.99,Italy,Sardinia,Red Wine,Cannonau,Sardinia Italy - Remarkably fresh yet still complex this wine displays notes of dark chocolate and tobacco beneath an explosion of berries. This well-balanced wine pairs well with a wide range of foods from starters to steak. (Elegant Berry Chocolate Tobacco  Full-bodied )
Maysara Pinot Noir Jamsheed McMinnville 2012,$32.99,Oregon,Willamette Valley,Red Wine,Pinot Noir,James Suckling-McMinnville OR - A ripe and beautiful Pinot Noir with dark berry peach and hints of walnuts. Full body dusty tannins and a flavorful finish. An impressive wine showing the ripeness and greatness of the vintage. From biodynamically grown grapes and Demeter certified. Drink now (Elegant Blackberry Cocoa  Medium-bodied )
Chateau Fonplegade St Emilion 2015,$49.99,France,Bordeaux,Red Wine,Bordeaux Blend,James Suckling-St. Emilion Bordeaux France - A gorgeous and layered red showcasing blackberry blueberry and mineral aromas and flavors. It is full bodied and polished with impressive tannins. Shows the flamboyance of the estate. (Concentrated Currant Spice  Full-bodied )
Stave &amp; Steel Cabernet Sauvignon Bourbon,$16.99,California,,Red Wine,Cabernet Sauvignon,California-Dark cherry blackberry and plum enrich the palate providing excellent structure and generous tannins. The bourbon influences add notes of vanilla and caramel. 100% of our premium Cabernet is aged for 4 months in Oak Bourbon Barrels. (Elegant Blackberry Cherry  Full-bodied )
Long Meadow Ranch Cabernet Napa,$52.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa CA- Aromas of dark red fruit black tea sweet cedar and black pepper. The entry introduces plush soft tannins that persist to the finish. Seamless and sweetly extracted it reveals layers of flavors in the progression on the palate. Made with organically grown grapes. (Concentrated Plum Cedar  Full-bodied )
Layer Cake Cabernet,$11.97,California,,Red Wine,Cabernet Sauvignon,Napa Valley CA- A blend of cabernet fruit from a number of eastern Napa hillside vineyards this is classically structured cab with a modern edge.Its perfume is redolent of blackberries violets pencil lead and tobacco. The blackberry fruit continues on the palate. ()
Paul Hobbs Pinot Noir Russian River Valley 2015,$64.99,California,Sonoma County,Red Wine,Pinot Noir,Russian River Sonoma CA- A gorgeous aromatic symphony of ripe dark red cherry laced with a touch of tobacco and cola. A plush entry leads to rich pure fruit flavors of plum and boysenberry in concert with underlying notes of truffle and forest floor. Smooth oaky silky finish. (Intense Black Cherry  Medium-bodied )
Oyster Bay Pinot Noir,$10.97,New Zealand,Marlborough,Red Wine,Pinot Noir,Marlborough New Zealand- This well proportioned Pinot Noir offers black cherry and plum flavors that are rounded our by touches of vanilla and menthol. It has a rich mouth feel and a lengthy finish. (Fresh Black Cherry Vanilla  Full-bodied )
Prophecy Pinot Noir,$10.97,California,,Red Wine,Pinot Noir,California- The wine is elegant and medium bodied with lush layers of red cherry and raspberry complemented by complex spice notes leading to a velvety smooth finish. Served with juicy grilled steak. ()
Calcareous Twisted Paso Cabernet,$19.99,California,Central Coast,Red Wine,Cabernet Sauvignon,Central Coast CA- Stunning inky red color with a nose of deliciously dark dusky forest fruits framed in subtle French Oak. Morrelo Cherries excite the palate with a lingering complement of fine mocha chocolate. Savor with a choice cut of prime Angus. (Concentrated Cherry Chocolate  Full-bodied )
Chateau Montet Bordeaux Merlot,$10.99,France,Bordeaux,Red Wine,Bordeaux Blend,Bordeaux France- Soft tannins and a rich fruity floral bouquet characterize this popular easy-drinking Merlot featuring flavors of black cherry and plum. This wine comes from the Entre-Deux-Mers region of Bordeaux which is known for its tremendous values. (Fresh Black Cherry Plum  Medium-bodied )
Glenelly Cabernet Lady May 2011,$49.99,South Africa,Stellenbosch,Red Wine,Cabernet Sauvignon,Wine Advocate-Stellenbosch South Africa- It has a very pure bouquet with backward blackberry and cedar scents merging with peppermint with aeration. The palate is medium-bodied with firm tannins...graphite and cedar towards the oaky finish. ()
Vistamar Sepia Carmenere Reserva,$10.99,Chile,Maipo Valley,Red Wine,Carmenere,Maipo Valley Chile- Enticing aromas of chocolate and smoke fill the nose as flavors of deep red fruits and silky texture fill the mouth. This wine is smooth and friendly from start to finish. (Concentrated Spice Chocolate  Medium-bodied )
La Rioja Alta Vina Ardanza Reserva 2008,$26.99,Spain,Rioja,Red Wine,Tempranillo,Wine Advocate-Rioja Spain- There are notes of stewed meat cured leather cloves other spices and an overall balsamic character. The palate feels solid consistent nicely built with abundant tannins and good balancing acidity. ()
Ruffino Chianti,$11.97,Italy,Tuscany,Red Wine,Sangiovese,A not-too-dry medium-bodied juicy red wine with fresh raspberry cherry and a hint of rose petal. (Berry Plum  Medium-bodied )
San Antonio Imperial Red,$7.99,California,,Red Wine,Red Blend,California- A refreshing juicy dark red wine full of sweet grape and red berry flavors perfect for many occasions. Enjoy slightly chilled on its own or pair with a variety of cheese fruit or meat. (Fresh Juicy Berry  Medium-bodied )
Mascota Vyds La Mascota Pinot Noir 2016,$14.99,Argentina,Mendoza,Red Wine,Pinot Noir,James Suckling-Mendoza Argentina - A lovely bright cherry nose with some real delicacy. More structure on the palate than this suggested but the tannins are rather gentle and support the finish...Quite an achievement.. (Elegant Raspberry Cherry Vanilla  Medium-bodied )
Echion Cabernet Sauvignon 2014,$179.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,James Suckling-Napa Valley CA - Extremely floral and fresh with very firm and silky tannins. Hints of spices and dried fruits. Full-bodied tight and refined... A blend of two top Oakville vineyards. Beautiful thing. (Intense Spice Dried Fruit  Full-bodied )
Chateau Ducru Beaucaillou St Julien 2010,$324.99,France,Bordeaux,Red Wine,Bordeaux Blend,James Suckling-2nd Growth St Julien Bordeaux France- The nose is phenomenal with perfect aromas of Cabernet Sauvignon with currant bush blackberries and minerals. The palate is perfect with a full body but has perfectly integrated tannins with a texture like the finest cashmere.. (Concentrated Blackberry Red Currant  Full-bodied )
Conte Priola Rosso,$9.99,Italy,,Red Wine,Red Blend,Veneto Italy - A fresh and full bodied wine deep red colour with a bright fruitful bouquet warm and velvety on the palate. Excellent with mature cheese and roasted meats. (Fresh Fruity Red Fruit  Full-bodied )
Seven Peaks Cabernet Sauvignon California,$11.99,California,,Red Wine,Cabernet Sauvignon,California- Seductive aromas of cherry and blackberry accented with notes of rhubarb and cedar spice. On the palate flavors of red plum raspberry currant and cocoa intermingle seamlessly and lead to a long smooth finish. (Intense Raspberry Smooth  Medium-bodied )
Duplin Hatteras Red,$8.29,North Carolina,,Red Wine,Red Blend,North Carolina-[This wine is indeed] pleasantly sweet and intense with fruit will bring back memories of old southern stately mansions warm sunshine and gracious hospitality. ()
Fattoria Casa di Terra Bolgheri DOC Moreccio,$19.99,Italy,Tuscany,Red Wine,Bordeaux Blend,Tuscany Italy - A traditional Tuscan blend of Cabernet Sauvignon Merlot and Syrah. Features notes of red fruits vanilla and spices. Smooth and silky tannins blend together with gentle acidity to make this wine rich and intense. (Elegant Red Fruit Vanilla Spice  Full-bodied )
Flowers Pinot Noir Sea Ridge 2014,$62.99,California,Sonoma County,Red Wine,Pinot Noir,Wine Enthusiast -Sonoma Coast CA- Velvety with a touch of grit this wine is tart and tangy in acidity with a firmness of structure and tannin. The boldy interwoven flavors are defined by wild strawberry cranberry and black tea. (Elegant Raspberry Mineral  Medium-bodied )
CrossBarn Cabernet Napa 2014,$49.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Napa CA- . Deep garnet-purple colored the 2014 Cabernet Sauvignon Napa Valley opens with spicy cassis and blueberry tart notions. Full-bodied rich concentrated...it has a firm backbone of grainy tannins and instills plenty of freshness on the finish. (Intense Cassis Cherry Mocha  Full-bodied )
Chateau Mouton Rothschild Pauillac 2010,$999.97,France,Bordeaux,Red Wine,Bordeaux Blend,James Suckling-1st Growth Pauillac Bordeaux France- This is pure Cabernet Sauvignon magic with incredible aromas of currants blackberries and light spices. Tiny hints of hazelnut. Wet earth. Full body with super velvety tannins. The purity of fruit is breathtaking. It goes on for minutes... (Concentrated Vanilla Leather  Full-bodied )
Vasco Sassetti Rosso di Montalcino,$19.99,Italy,Tuscany,Red Wine,Sangiovese,Montalcino Tuscany Italy- A lighter fresher version of Brunello this Rosso has a ripe palate of good cherry and plum fruit. The energy and vigor continue on the finish with notes of licorice and dried herbs. Enjoy with grilled rack of lamb with an herbed crust. (Elegant Cherry Plum  Medium-bodied )
Kenwood Sonoma Cabernet,$13.99,California,Sonoma County,Red Wine,Cabernet Sauvignon,Sonoma Valley CA- Intense aromas of black currant plum and fig; followed by hints of vanilla and pipe tobacco. Full-bodied and smooth with rich tannins and an excellent finish. ()
Bevan Red EE Oakville 2013,$299.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Oakville Napa CA- The 2013 Proprietary Red EE a 400-case blend of 75% Cabernet Sauvignon and 25% Cabernet Franc exhibits fabulous floral notes intermixed with blueberries blackberries lead pencil shavings and loamy soil. Full-bodied and opulent... (Barrel Score 95-97) (Intense Blackberry Chocolate  Full-bodied )
Porta Pinot Noir Reserva,$9.99,Chile,Bio Bio Valley,Red Wine,Pinot Noir,Bio Bio Valley Chile - The enticing aromas of fresh cherries and strawberry cream marry well with the smooth delicate palate of this Pinot Noir. This wine pairs perfectly with white meats pasta and salads. Estate bottled. (Elegant Cherry Strawberry  Medium-bodied )
Intrinsic Cabernet Sauvignon 2016,$19.99,Washington,Columbia Valley,Red Wine,Cabernet Sauvignon,James Suckling-Columbia Valley Washington - A red with lots of sweet-tobacco and currant aromas and flavors. Medium to full body round and juicy tannins and a flavorful finish. Harmonious and fine. ()
Canyon Oaks Zinfandel,$4.99,California,,Red Wine,Zinfandel,California- Perfect for a party! Wonderful aromas of jammy fruit and spice lead into rich flavors of blackberry and pepper while remaining smooth and easy-drinking. A great combination of versatility and value except one bottle wont be enough! (Fresh Blackberry Spice  Medium-bodied )
Baronia del Montsant Clos dEnglora AV14 2005,$29.99,Spain,Montsant,Red Wine,Red Blend,Wine Advocate-Montsant Spain- It offers up a perfume of crushed stone smoke espresso Asian spices black cherry and blackberry leading to a rich opulent layered wine with tons of fruit plenty of spice... (Intense Blueberry Black Raspberry  Full-bodied )
Spier Cabernet,$9.99,South Africa,Stellenbosch,Red Wine,Cabernet Sauvignon,Stellenbosch South Africa- Medium-bodied with fresh fruit flavors and ripe tannins the ruby red color delights the eye while the matching nose and palate of dark chocolate cassis and vanilla delight the senses. (Fresh Cassis Chocolate Vanilla  Medium-bodied )
Firebrand Merlot,$9.99,California,,Red Wine,Merlot,California - A concentrated merlot that is soft and smooth with garnet color and flavors of black cherry on the palate. Pairs great with rich pasta dishes and roasted meats. (Fresh Cherry Plum  Medium-bodied )
Sterling Vintners Merlot,$10.97,California,Central Coast,Red Wine,Merlot,Central Coast CA- The complex aromas of ripe fruit and spicy oak are enticing On the palate rich black fruits are front and center with nice touches of cherry and dark chocolate continuing through the silky finish. Great value. (Fresh Blackberry Spice  Medium-bodied )
Chateau Margaux Margaux 2010,$1199.97,France,Bordeaux,Red Wine,Bordeaux Blend,James Suckling-1st Growth Margaux Bordeaux France - A phenomenal nose of roses violets and other flowers. Subtle yet rich raspberries and currants.The is a curious wine. It is all in the front of the palate with ultra-fine tannins. It is full and very rich but it is forever balanced. (Concentrated Cedar Spice  Full-bodied )
DeLille Cellars D2 2014,$42.99,Washington,Columbia Valley,Red Wine,Merlot,Wine & Spirits-Columbia Valley WA-  Its initial scents are savory: cedar and tobacco leaf; the flavors more given to spiced cherry and plum - merlot-driven in their nimble succulent light-toned fruit. ()
H to H &#034;Homage to Heritage&#034; Cotes du Rhone,$9.99,France,Rhone,Red Wine,Rhone Blend,Cotes du Rhone Rhone France- Tradition radiates from this medium-bodied well developed wine. Unveil black cherry raspberry and spice with subtle earthiness in this Rhone blend. (Elegant Cherry Pepper  Medium-bodied )
Sobon Zinfandel Rocky Top 2013,$19.99,California,Sierra Foothills,Red Wine,Zinfandel,Beverage Dynamics-Lodi California - Elegant notes of blackberry plum and cinnamon dominate the palate and nose. Oak notes are evident and used to provide more structure for the ripe fruit and smooth tannins. (Intense Blackberry Spice  Medium-bodied )
Red Pony Ranch Pinot Noir California,$11.49,California,,Red Wine,Pinot Noir,California- Inviting aromas of cranberry raspberry and baking spices. Flavors of red fruit pomegranate and cinnamon can all be detected in this light-bodied Pinot Noir. The crisp finish expertly balances the upfront fruit and gently cleanses the palate. (Elegant Red Fruit Pomegranate  Light-bodied )
Estancia Red Meritage,$25.99,California,Central Coast,Red Wine,Cabernet Sauvignon,Paso Robles Central Coast CA- Complex aromatics lead to plush black cherry and dark fruits which mingle with spicy and chocolate notes. Mostly Cabernet there is some Merlot and Petit Verdot in the blend to add complexity. (Intense Black Cherry Blackberry  Full-bodied )
Montoya Pinot Noir,$17.99,California,Monterey,Red Wine,Pinot Noir,California - The Montoya Pinot Noir is crafted with grapes selected from Monterey where rich soils and cool ocean breezes produce delicious full-flavored wines. Rich long lasting flavors of raspberry and black cherry lead to a smooth finish. (Fresh Raspberry Black Cherry  Light-bodied )
Ch Ste Michelle Indian Wells Red,$13.97,Washington,Columbia Valley,Red Wine,Red Blend,Columbia Valley WA- An easy drinking yet well structured. Rich round powerful style of Washington fruit highlighting seven varietals. Jammy boysenberry flavors from Syrah with a luscious backbone from Merlot. The other varieties add the spice. Pairs well with barbecue ribs. ()
Elk Cove Pinot Noir Willamette 2014,$23.99,Oregon,Willamette Valley,Red Wine,Pinot Noir,James Suckling-Willamette Valley OR - A wine with plenty of dried-strawberry and berry aromas and flavors. Medium to full body firm and velvety tannins - yet this is always refined and polished. A beauty. Drink or hold (Intense Cherry  Medium-bodied )
Apothic Inferno,$12.97,California,,Red Wine,Red Blend,California- This small-batch limited release red blend wine has been aged for 60 days in whiskey barrels. Red and dark fruit flavors combine with layers of maple and spice giving way to a long clean finish. ()
Monte Antico Rosso,$8.97,Italy,Tuscany,Red Wine,Sangiovese,Tuscany Italy- Its bouquet of leather earth herbs black cherries licorice and plums is confirmed on the medium to full-bodied palate. It is round spicy elegant attractively fruity and extremely versatile with any fare from pasta or risotto to meat fowl and cheese. ()
Duplin Carolina Red,$8.29,North Carolina,,Red Wine,Red Blend,North Carolina-Gentle contact with the grape skins during fermentation produces this robust yet sweet red wine. Its wonderfully rich flavor makes a tremendous fruit for marinating. Enjoy a burst of flavor on your palate with this sweet red wine that has a clean finish. ()
Bird Song Hill Cabernet Sauvignon Columbia Valley,$9.99,Washington,Columbia Valley,Red Wine,Cabernet Sauvignon,Columbia Valley WA- A savory Cabernet with aromas and flavors of kirsch mocha and baking spice that are layered with nuances of oak vanilla and baking spice. It reflects its Columbia Valley pedigree in its crisp balancing finish. (Fresh Kirsch Coffee  Medium-bodied )
Chateau Montet Bordeaux Rouge,$11.99,France,Bordeaux,Red Wine,Bordeaux Blend,Bordeaux France- Berry fruit and a light-to medium-body make this a great entry-level Bordeaux and pleasant everyday wine for the more experienced drinker. An elegant dry well-balanced smooth refined style. BEST BUY - Wine & Spirits Mag; GOLD Medal at LA Intl Wine Competition (Fresh Black Cherry Plum  Medium-bodied )
Michel Gassier Syrah Les Piliers,$15.99,France,Vins de Pays dOc,Red Wine,Syrah/Shiraz,France- Ripe and intense it offers amazing aromas of spice cedar and blackberry. The palate is full and rich layering cherry cassis pepper and cinnamon with hints of mineral and berry. The tannins are firm but supple lending weight to this delicious Syrah. Braised Lamb Shank. (Intense Cherry Cassis Spice  Full-bodied )
Beyer Ranch Merlot Central Coast,$10.99,California,Central Coast,Red Wine,Merlot,Central Coast CA- This Central Coast merlot has rich blackberry and cherry flavors with smooth tannins and a rich fruit flavors on the finish. Great with an array of foods from pork loin to macaroni and cheese. (Elegant Dried Cherry Blackberry  Medium-bodied )
Mirassou Cabernet,$7.47,California,,Red Wine,Cabernet Sauvignon,California- Deep rich blackberry and black currant flavors complimented by vanilla and hints of toasted oak and brown spice. Full bodied with a soft finish of moderate length. (Concentrated Blackberry Spice  Full-bodied )
Renieri Brunello di Montalcino Riserva 2011,$69.99,Italy,Tuscany,Red Wine,Sangiovese,James Suckling-Tuscany Italy - A linear and racy Brunello for 2011 with plenty of plum cherry and hazelnut character. Still this always remains subtle and fine. Tangy acidity underneath. Solid Brunello for the vintage... (Intense Black Currant Licorice  Full-bodied )
Quimay Pinot Noir 2015,$12.99,Argentina,,Red Wine,Pinot Noir,James Suckling-Neuquen Argentina- Subtle aromas of walnut dried citrus ripe strawberry and ginseng. Full body silky tannins and a long and flavorful finish. Enjoy with grilled vegetable or smoky meats. (Intense Red Fruit Floral  Medium-bodied )
Bulgariana Cabernet Syrah 2011,$17.99,Bulgaria,,Red Wine,Red Blend,Wine Enthusiast -Thracian Valley Bulgaria- This wine features aromas of raspberry and black currants with touches of coffee and bacon. Luxurious flavors of ripe black plum black cherry espresso and pipe tobacco wash over the taste buds in a web of velvety tannins culminating in a vivid finish. (Intense Black Currant Coffee  Medium-bodied )
Gerd Anselmann Pfalz Dornfelder,$14.99,Germany,Pfalz,Red Wine,Dornfelder,Pfalz Germany- Dornfelder is the most successful of the new German red varieties. Known for its depth of color floral aromatics and velvety texture this easy drinking wine provides plenty of drinking pleasure. Enjoy with chicken sausage or braised meats. Best served chilled. (Elegant Floral Cherry Spice  Medium-bodied )
Bellini Chianti Classico,$13.99,Italy,Tuscany,Red Wine,Sangiovese,Chianti Classico Tuscany Italy- Ripe cherry and hints of strawberry are followed by hints of vanilla. A lively acidity keeps the flavors interesting and alive for the long finish. Pizza and pasta are good pairings but experiment a little with a fresh tomato salad or roasted chicken. (Fresh Cherry Strawberry  Medium-bodied )
Alamos Malbec Seleccion 2014,$13.47,Argentina,Mendoza,Red Wine,Malbec,James Suckling-Mendoza Argentina-A rich and flavorful red with blueberry spice and walnut character. Full body lots of fruit and a soft and balanced finish. This one is always delicious. (Intense Black Currant  Full-bodied )
Press Run Pinot Noir Monterey,$13.99,California,Monterey,Red Wine,Pinot Noir,Monterey CA- An outstanding Pinot Noir that shows great varietal character the Press Run offers aromas and flavors of raspberry tea bramble cherry and spice. It finishes elegant and crisp while also showcasing its savory fruit. Crafted using environmentally sustainable practices. (Elegant Raspberry Tea  Light-bodied )
Vega Sicilia Alion 2013,$99.99,Spain,Ribera del Duero,Red Wine,Tempranillo,Ribera del Duero Spain- From the owners of the renowned Vega Sicilia comes this 100% Tempranillo aged in new French oak and made in the modern style. Featuring jammy black cherry and dark berry fruit bathed in toasty oak with espresso and leathery notes. Rich complex and opulent. ()
Undivided Pinot Noir,$10.99,France,Vins de Pays dOc,Red Wine,Pinot Noir,Vins de Pays dOc Southern France - This is a fruit forward Pinot Noir that retains a complex palate. Elegant notes of small red fruit combine with hints of spice and smooth vanilla. (Elegant Red Fruit Vanilla  Medium-bodied )
Ch Giscours Margaux 2014,$69.99,France,Bordeaux,Red Wine,Bordeaux Blend,Wine Enthusiast -3rd Growth Margaux Bordeaux France- Still dry and concentrated and with swathes of rich tannins the wine is dark and dense. The undertow of ripe black fruit is impressive. It obviously has considerable aging potential. (Elegant Raspberry Blackberry Coffee  Full-bodied )
Cloudline Pinot Noir,$15.99,Oregon,,Red Wine,Pinot Noir,Oregon- A beautiful dark ruby color the nose develops well in the glass and it possesses an intense aromatic bouquet reminiscent of spices blackcurrant and other red and black berries. On the palate Cloudline offers a caressing texture and a long flavorful finish. (Concentrated Red Cherry Blackberry Currant  Medium-bodied )
Mauro Veglio Barolo 2013,$39.99,Italy,Piedmont,Red Wine,Nebbiolo,Wine Enthusiast -Barolo Italy- Intense red cherry and violet aromas follow through to the firmly structured palate in this wine along with pomegranate licorice and chopped herb notes. Taut fine-grained tannins and bright acidity provide the framework. (Intense Cassis Licorice  Full-bodied )
Chateau De La Huste Fronsac 2014,$19.99,France,Bordeaux,Red Wine,Bordeaux Blend,James Suckling-Fronsac Bordeaux France - A dense and juicy red with walnut dark fruit and peach pit undertone taste. Excellent length here. Fresh and engaging. Drink now through 2018. (Elegant Fig Oak  Medium-bodied )
Domaine Serene Pinot Noir Evenstad Reserve 2013,$64.97,Oregon,Willamette Valley,Red Wine,Pinot Noir,Wine Advocate-Willamette Valley OR - It has a more complex bouquet compared to the Yamhill Cuvee with attractive raspberry and briary scents the oak neatly integrated here. The palate is medium-bodied with more red fruit than black... (Elegant Cherry Plum Spice  Medium-bodied )
Debeaune Special Selection Beaujolais Villages,$13.99,France,Beaujolais-Villages,Red Wine,Gamay,Beaujolais-Villages France- Exhibiting a ruby-purple color red berry perfume and floral bouquet this wine bursts on the palate with gobs of dark cherry and cassis fruit. Soft lush and ready to drink now serve slightly chilled at your next picnic or BBQ. (Fresh Cherry Berry  Medium-bodied )
Kendall Jackson Red Wine Blend,$10.99,California,,Red Wine,Cabernet Sauvignon,California- An upfront vanilla sweetness is noticed in the aroma which pulls all the attributes together. The palate has juicy cherry pomegranate and roasted coffee tones. The wine finishes with a fullness provided by ripe rich round tannins and a lasting finish full of flavor. ()
Pine Ridge Cabernet Napa Valley 2014,$54.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Napa Valley CA - A classic much in keeping with the vintage characteristics this charmer is loaded with sweet black and red currant fruit some spice box earth and subtle oak. It is up-front irresistible full-bodied and layered with fruit and glycerin. ()
Halos de Jupiter Costieres de Nimes Rouge 2014,$13.49,France,Rhone,Red Wine,Rhone Blend,Wine Enthusiast -Costieres de Nimes France - Somewhat unusual for the appellation this wine doesnt include any Syrah; the blend is 80% Grenache and 20% Carignan. This wine offers hints of Mexican chocolate ripe black cherries and dried herbs backed by a smooth silky long fiish. (Fresh Berry Spice  Medium-bodied )
Rex Goliath Cabernet,$9.47,California,,Red Wine,Cabernet Sauvignon,California- This nice hearty Cabernet opens with hints of cedar with layers of blackberry plum and currant flavors following on the palate. Its great with any red meat dish but may be the ultimate hamburger wine. (Intense Plum Blackberry  Medium-bodied )
Big Sipper Red California,$8.99,California,,Red Wine,Red Blend,California- Soft red fruit intermixes with a silky texture to create a deliciously easy to drink wine. Bright bold and balanced this has notes cherry raspberry and spice with a smooth finish. (Fresh Black Cherry Smooth  Medium-bodied )
Titus Zinfandel Napa,$35.99,California,Napa Valley,Red Wine,Zinfandel,Napa Valley CA- Top flight Zin! Boasting aromas of blackberry jam and spicy oak leading to superbly concentrated flavors of bing cherries raspberry and peppered spice with just a hint of coconut on the finish. Fantastic! Best with a grilled steak or rack of lamb. (Concentrated Fruity Berry  Full-bodied )
Red Knot Shiraz,$13.99,Australia,McLaren Vale,Red Wine,Syrah/Shiraz,McLaren Vale Australia- The deep red color wears the aroma of ripe raspberry which is layered with hints of roasted coffee and almond oak. This is a well structured Shiraz filled with dark fruit flavors and hints of vanilla. Great value. Enjoy with Slow Roasted Lamb Shoulder. (Intense Berry Vanilla  Medium-bodied )
Cloud Break Zinfandel,$9.99,California,,Red Wine,Zinfandel,Beverage Dynamics-California- Good easy drinking value zinfandel; jammy dark berry fruits and a light layer of spiciness; a back note of toasty sweet vanilla to follow the juicy characteristics. (Fresh Blackberry Vanilla  Medium-bodied )
Corbett Canyon Merlot,$10.29,California,,Red Wine,Merlot,Medium-bodied with deep blackberry aromas and a soft satisfying finish. ()
Vecchia Cantina Vino Nobile di Montepulciano,$18.99,Italy,Tuscany,Red Wine,Sangiovese,Vino Nobile di Montepulciano Tuscany Italy- A tremendous wine with delicious fruit flavors of rustic blackberry and cassis enhanced by nuances of herb and tobacco. Full and lush on the palate this red offers an amazingly long velvety finish. The perfect bottle for veal chops. (Intense Blackberry Cassis Herb  Full-bodied )
Mascota Vineyards Malbec ROD,$12.49,Argentina,Mendoza,Red Wine,Malbec,Mendoza Argentina- ROD Malbec offers an intense violet color with a great balance between fruit and oak. Plum and blackberry aromas coexist harmoniously and lead to a velvety taste and long finish. (Fresh Plum Blackberry  Medium-bodied )
Beringer Founders Merlot,$13.47,California,,Red Wine,Merlot,California- Approachable and delicious; hints of plum and brown spice on the nose compliment the boysenberry blackberry and blueberry finish on the palate. Its well-balanced soft tannins make this wine a perfect accompaniment to a variety of foods. ()
Evodia Calatayud Garnacha,$9.77,Spain,Calatayud,Red Wine,Grenache,Calatayud Spain- Vinified from Grenache grown in high-elevation slate vineyards planted up to 100 years ago this red is a fantastic value. Intense black cherry currant and raspberry overlay mineral cedar and baking spice notes. The palate finishes dry earthy and satisfying. (Intense Blackberry Spice  Medium-bodied )
Chateau De Cornemps Cuvee Prestige,$14.99,France,Bordeaux,Red Wine,Bordeaux Blend,Bordeaux France- Ready to drink now this soft lush wine has plum cassis and cedar notes and is medium-bodied. Primarily Merlot with Cabernet Franc blended in this wine represents the Fagard familys finest offering. Serve it with London broil or lamb chops. (Elegant Plum Cassis  Medium-bodied )
Perrin Reserve Rouge,$7.97,France,Rhone,Red Wine,Rhone Blend,Cotes du Rhone Rhone France- Produced from Grenache Syrah and Mourvedre some of which are flash-heated using the same methods as those at Chateau de Beaucastel the fruit is rich and jammy with peppery spice concentration and intensity. (Fresh Jam Pepper  Medium-bodied )
Vendange Cabernet,$7.47,California,,Red Wine,Cabernet Sauvignon,Dark brick red in color this wine boasts rich aromas of black fruit and spice on the nose. Blackberry and black cherry flavors dominate with a just hint of green pepper. Rich and full-flavored the finish is bold with a touch of oak. ()
Hedges Family Wines Cabernet The Bourgeoisie,$19.99,Washington,Columbia Valley,Red Wine,Cabernet Sauvignon,Columbia Valley WA - Strong aromas of cherry and black fruit greet you in this full bodied Washington blend. Flavors of dark fruits mixed with light earthy notes lead to a smooth silky finish. A classic Bordeaux style blend that will pair great with cheeses meats or pasta (Concentrated Cassis Cherry  Full-bodied )
Reserve des Vignerons Saumur Champigny,$13.99,France,Loire,Red Wine,Cabernet Franc,Saumur-Champigny Loire France- An aromatic red produced from 100% Cabernet Franc with juicy notes of blackcurrant and blackberry supported by crisp notes of herb. Fresh and racy it will pair well with pork poultry and lighter red meat dishes. (Elegant Black Currant Raspberry  Medium-bodied )
Substance Cabernet Sauvignon 2015,$11.97,Washington,,Red Wine,Cabernet Sauvignon,Wine Advocate-Colombia Valley WA - ...Over- delivers with its deep purple color terrific bouquet of violets black currants and wild herbs; it is full-bodied supple and downright sexy style on the palate. Its a no brainer purchase. ( Barrel Score 89-91) ()
Chateau De Cornemps,$13.99,France,Bordeaux,Red Wine,Bordeaux Blend,Bordeaux France- Flavors of blackcurrants with cedar notes precede a supple finish in this Merlot-based wine produced by the Fagard family in Lussac. This easy-drinking wine makes a good everyday dinner choice and pairs well with steak or bleu cheese. (Fresh Black Currant Cedar  Medium-bodied )
Anakena Ona Special Reserve Red,$16.99,Chile,,Red Wine,Cabernet Sauvignon,Chile- A structured blend of Cabernet Carmenere and Syrah it is powerfully aromatic with clove bittersweet chocolate and cassis flavors leading to a rich fruit palate. Complex with rounded tannins and a very long finish. (Oak Red Fruit Clove  Full-bodied )
